name,price,location,posted_date,image_name,img_link,description,price_type
سجاده شاج النساجون مع 2مشايه,"EGP 2,600","Hadayek al-Ahram, Giza",5 hours ago,سجاده شاج النساجون مع 2مشايه.jpg,https://images.dubizzle.com.eg/thumbnails/16114708-400x300.jpeg,"سجاده شاج النساجون مع 2مشايه. السعر: جنيه مصري 2600. الموقع: Hadayek al-Ahram, Giza.  تم النشر منذ 5 ساعةs مضت.",Fixed
غرفه نوم اطفال,"EGP 20,000","Hadayek al-Ahram, Giza",5 hours ago,غرفه نوم اطفال.jpg,https://images.dubizzle.com.eg/thumbnails/6577390-400x300.jpeg,"غرفه نوم اطفال. السعر: جنيه مصري 20000. الموقع: Hadayek al-Ahram, Giza.  تم النشر منذ 5 ساعةs مضت.",Negotiable
غرفة صالون,"EGP 15,000","Mansura, Dakahlia",5 hours ago,غرفة صالون.jpg,https://images.dubizzle.com.eg/thumbnails/118542005-400x300.jpeg,"غرفة صالون. السعر: جنيه مصري 15000. الموقع: Mansura, Dakahlia.  تم النشر منذ 5 ساعةs مضت.",Negotiable
ترابيزة تليفزيون بقرص متحرك,"EGP 2,000","Hurghada, Red Sea",5 hours ago,ترابيزة تليفزيون بقرص متحرك.jpg,https://images.dubizzle.com.eg/thumbnails/11880711-400x300.jpeg,"ترابيزة تليفزيون بقرص متحرك. السعر: جنيه مصري 2000. الموقع: Hurghada, Red Sea.  تم النشر منذ 5 ساعةs مضت.",Negotiable
انتريه,"EGP 16,000","Zahraa Madinat Nasr, Nasr City",5 hours ago,انتريه.jpg,https://images.dubizzle.com.eg/thumbnails/137290904-400x300.jpeg,"انتريه. السعر: جنيه مصري 16000. الموقع: Zahraa Madinat Nasr, Nasr City.  تم النشر منذ 5 ساعةs مضت.",Fixed
سفرة كاملة ٨ كراسي و نيش وبوفيه,"EGP 12,999","Miami, Alexandria",5 hours ago,سفرة كاملة ٨ كراسي و نيش وبوفيه.jpg,https://images.dubizzle.com.eg/thumbnails/118701732-400x300.jpeg,"سفرة كاملة ٨ كراسي و نيش وبوفيه. السعر: جنيه مصري 12999. الموقع: Miami, Alexandria.  تم النشر منذ 5 ساعةs مضت.",Negotiable
باب شقة,"EGP 3,500","Shubra al-Khaimah, Qalyubia",5 hours ago,باب شقة.jpg,https://images.dubizzle.com.eg/thumbnails/137290783-400x300.jpeg,"باب شقة. السعر: جنيه مصري 3500. الموقع: Shubra al-Khaimah, Qalyubia.  تم النشر منذ 5 ساعةs مضت.",Fixed
نيش استعمال خفيف,"EGP 3,500","Khosous, Qalyubia",5 hours ago,نيش استعمال خفيف.jpg,https://images.dubizzle.com.eg/thumbnails/137290593-400x300.jpeg,"نيش استعمال خفيف. السعر: جنيه مصري 3500. الموقع: Khosous, Qalyubia.  تم النشر منذ 5 ساعةs مضت.",Fixed
فازات للديكور,EGP 500,"Mehwar Plaza Mall, 6th of October",5 hours ago,فازات للديكور.jpg,https://images.dubizzle.com.eg/thumbnails/137290477-400x300.jpeg,"فازات للديكور. السعر: جنيه مصري 500. الموقع: Mehwar Plaza Mall, 6th of October.  تم النشر منذ 5 ساعةs مضت.",Negotiable
ترابيزه خشب زان,"EGP 1,100","Hadayek Helwan, Cairo",5 hours ago,ترابيزه خشب زان.jpg,https://images.dubizzle.com.eg/thumbnails/135083685-400x300.jpeg,"ترابيزه خشب زان. السعر: جنيه مصري 1100. الموقع: Hadayek Helwan, Cairo. مصنوع من الخشب تم النشر منذ 5 ساعةs مضت.",Fixed
صالون مدهب زان,"EGP 20,000","Hadayeq El Zeitoun, Cairo",5 hours ago,صالون مدهب زان.jpg,https://images.dubizzle.com.eg/thumbnails/134831848-400x300.jpeg,"صالون مدهب زان. السعر: جنيه مصري 20000. الموقع: Hadayeq El Zeitoun, Cairo.  تم النشر منذ 5 ساعةs مضت.",Negotiable
سفرة. د,"EGP 35,000","Faisal, Giza",5 hours ago,سفرة. د.jpg,https://images.dubizzle.com.eg/thumbnails/137290271-400x300.jpeg,"سفرة. د. السعر: جنيه مصري 35000. الموقع: Faisal, Giza.  تم النشر منذ 5 ساعةs مضت.",Negotiable
مكتب خشب,"EGP 2,000","Tura, Cairo",5 hours ago,مكتب خشب.jpg,https://images.dubizzle.com.eg/thumbnails/137290176-400x300.jpeg,"مكتب خشب. السعر: جنيه مصري 2000. الموقع: Tura, Cairo. مصنوع من الخشب تم النشر منذ 5 ساعةs مضت.",Fixed
ديكور للنيش,EGP 100,"Mehwar Plaza Mall, 6th of October",5 hours ago,ديكور للنيش.jpg,https://images.dubizzle.com.eg/thumbnails/137290128-400x300.jpeg,"ديكور للنيش. السعر: جنيه مصري 100. الموقع: Mehwar Plaza Mall, 6th of October.  تم النشر منذ 5 ساعةs مضت.",Fixed
سفره ( ٨ كرسي ، بوفيه ، نيش ),"EGP 40,000","Haram, Giza",5 hours ago,سفره ( ٨ كرسي ، بوفيه ، نيش ).jpg,https://images.dubizzle.com.eg/thumbnails/137290026-400x300.jpeg,"سفره ( ٨ كرسي ، بوفيه ، نيش ). السعر: جنيه مصري 40000. الموقع: Haram, Giza.  تم النشر منذ 5 ساعةs مضت.",Negotiable
نيش عمولة كالجديد,"EGP 4,500","Hadayek 6th of October, Hadayek October",5 hours ago,نيش عمولة كالجديد.jpg,https://images.dubizzle.com.eg/thumbnails/137290009-400x300.jpeg,"نيش عمولة كالجديد. السعر: جنيه مصري 4500. الموقع: Hadayek 6th of October, Hadayek October. جديد تم النشر منذ 5 ساعةs مضت.",Negotiable
غرفة سفرة كاملة خشب زان,"EGP 20,000","Ain Shams, Cairo",5 hours ago,غرفة سفرة كاملة خشب زان.jpg,https://images.dubizzle.com.eg/thumbnails/136973317-400x300.jpeg,"غرفة سفرة كاملة خشب زان. السعر: جنيه مصري 20000. الموقع: Ain Shams, Cairo. مصنوع من الخشب تم النشر منذ 5 ساعةs مضت.",Negotiable
حجرة نوم بانو قشرة آرو طبيعى,"EGP 25,000","Smoha, Alexandria",5 hours ago,حجرة نوم بانو قشرة آرو طبيعى.jpg,https://images.dubizzle.com.eg/thumbnails/135918052-400x300.jpeg,"حجرة نوم بانو قشرة آرو طبيعى. السعر: جنيه مصري 25000. الموقع: Smoha, Alexandria.  تم النشر منذ 5 ساعةs مضت.",Negotiable
white plastic chair,EGP 300,"Zamalek, Cairo",5 hours ago,white plastic chair.jpg,https://images.dubizzle.com.eg/thumbnails/134358896-400x300.jpeg,"white plastic chair. السعر: جنيه مصري 300. الموقع: Zamalek, Cairo.  تم النشر منذ 5 ساعةs مضت.",Fixed
طقم انتريه,"EGP 7,750","Granda Life, Shorouk City",5 hours ago,طقم انتريه.jpg,https://images.dubizzle.com.eg/thumbnails/131782391-400x300.jpeg,"طقم انتريه. السعر: جنيه مصري 7750. الموقع: Granda Life, Shorouk City.  تم النشر منذ 5 ساعةs مضت.",Fixed
برقع كلاسيك قماش  ١٨٠سم قماش اورجنزا شانليا تركي قيم جدا وغالي,"EGP 1,500","Tanta, Gharbia",5 hours ago,برقع كلاسيك قماش  ١٨٠سم قماش اورجنزا شانليا تركي قيم جدا وغالي.jpg,https://images.dubizzle.com.eg/thumbnails/126049022-400x300.jpeg,"برقع كلاسيك قماش  ١٨٠سم قماش اورجنزا شانليا تركي قيم جدا وغالي. السعر: جنيه مصري 1500. الموقع: Tanta, Gharbia.  تم النشر منذ 5 ساعةs مضت.",Negotiable
شمعات للبيع معايا ٥٠٠ شماعه الواحده بي ٢ جنيه,EGP 10,"Aria, New Cairo",5 hours ago,شمعات للبيع معايا ٥٠٠ شماعه الواحده بي ٢ جنيه.jpg,https://images.dubizzle.com.eg/thumbnails/137289483-400x300.jpeg,"شمعات للبيع معايا ٥٠٠ شماعه الواحده بي ٢ جنيه. السعر: جنيه مصري 10. الموقع: Aria, New Cairo.  تم النشر منذ 5 ساعةs مضت.",Fixed
كابينه زجاج شغل ليزر,"EGP 2,000","Rehab Mall 1, New Cairo",5 hours ago,كابينه زجاج شغل ليزر.jpg,https://images.dubizzle.com.eg/thumbnails/137289469-400x300.jpeg,"كابينه زجاج شغل ليزر. السعر: جنيه مصري 2000. الموقع: Rehab Mall 1, New Cairo.  تم النشر منذ 5 ساعةs مضت.",Fixed
كابينة حمام بحالة الزيرو,"EGP 7,000","Hurghada, Red Sea",5 hours ago,كابينة حمام بحالة الزيرو.jpg,https://images.dubizzle.com.eg/thumbnails/65933429-400x300.jpeg,"كابينة حمام بحالة الزيرو. السعر: جنيه مصري 7000. الموقع: Hurghada, Red Sea.  تم النشر منذ 5 ساعةs مضت.",Negotiable
كرسي مكتب حديد متحرك,EGP 350,"Haram, Giza",5 hours ago,كرسي مكتب حديد متحرك.jpg,https://images.dubizzle.com.eg/thumbnails/135076474-400x300.jpeg,"كرسي مكتب حديد متحرك. السعر: جنيه مصري 350. الموقع: Haram, Giza.  تم النشر منذ 5 ساعةs مضت.",Negotiable
غرفه نوم نفس حالة الصورة,"EGP 32,000","Hadayek Helwan, Cairo",5 hours ago,غرفه نوم نفس حالة الصورة.jpg,https://images.dubizzle.com.eg/thumbnails/137289119-400x300.jpeg,"غرفه نوم نفس حالة الصورة. السعر: جنيه مصري 32000. الموقع: Hadayek Helwan, Cairo.  تم النشر منذ 5 ساعةs مضت.",Negotiable
باب حديد يركب على باب شقة,"EGP 5,000","Boulaq Dakrour, Giza",5 hours ago,باب حديد يركب على باب شقة.jpg,https://images.dubizzle.com.eg/thumbnails/137288933-400x300.jpeg,"باب حديد يركب على باب شقة. السعر: جنيه مصري 5000. الموقع: Boulaq Dakrour, Giza.  تم النشر منذ 5 ساعةs مضت.",Fixed
الهرم الجيزة,"EGP 22,000","Maryotaya, Giza",5 hours ago,الهرم الجيزة.jpg,https://images.dubizzle.com.eg/thumbnails/137288764-400x300.jpeg,"الهرم الجيزة. السعر: جنيه مصري 22000. الموقع: Maryotaya, Giza.  تم النشر منذ 5 ساعةs مضت.",Fixed
اتنين ترابيزه بنى خشب زان,"EGP 5,000","New Cairo, Cairo",6 hours ago,اتنين ترابيزه بنى خشب زان.jpg,https://images.dubizzle.com.eg/thumbnails/72959643-400x300.jpeg,"اتنين ترابيزه بنى خشب زان. السعر: جنيه مصري 5000. الموقع: New Cairo, Cairo. مصنوع من الخشب تم النشر منذ 6 ساعةs مضت.",Fixed
اتنين بلتكانه مذهب السعر للاتنين ١٥٠٠,"EGP 1,500","New Cairo, Cairo",5 hours ago,اتنين بلتكانه مذهب السعر للاتنين ١٥٠٠.jpg,https://images.dubizzle.com.eg/thumbnails/63012093-400x300.jpeg,"اتنين بلتكانه مذهب السعر للاتنين ١٥٠٠. السعر: جنيه مصري 1500. الموقع: New Cairo, Cairo.  تم النشر منذ 5 ساعةs مضت.",Fixed
غرفة سفرة كاملة - موديل انجليزي - المهندس دمياط,"EGP 25,000","Ismailia City, Ismailia",6 hours ago,غرفة سفرة كاملة - موديل انجليزي - المهندس دمياط.jpg,https://images.dubizzle.com.eg/thumbnails/131207604-400x300.jpeg,"غرفة سفرة كاملة - موديل انجليزي - المهندس دمياط. السعر: جنيه مصري 25000. الموقع: Ismailia City, Ismailia.  تم النشر منذ 6 ساعةs مضت.",Fixed
نيش حالته كويسه,"EGP 4,000","Salam City, Cairo",6 hours ago,نيش حالته كويسه.jpg,https://images.dubizzle.com.eg/thumbnails/137288576-400x300.jpeg,"نيش حالته كويسه. السعر: جنيه مصري 4000. الموقع: Salam City, Cairo.  تم النشر منذ 6 ساعةs مضت.",Negotiable
حدائق المعادى,"EGP 40,000","Haram, Giza",6 hours ago,حدائق المعادى.jpg,https://images.dubizzle.com.eg/thumbnails/137288590-400x300.jpeg,"حدائق المعادى. السعر: جنيه مصري 40000. الموقع: Haram, Giza.  تم النشر منذ 6 ساعةs مضت.",Negotiable
صالون جوبلان اربع كراسي و ترابيزه بسعر لقطه,"EGP 10,000","1st Settlement, New Cairo",6 hours ago,صالون جوبلان اربع كراسي و ترابيزه بسعر لقطه.jpg,https://images.dubizzle.com.eg/thumbnails/134732108-400x300.jpeg,"صالون جوبلان اربع كراسي و ترابيزه بسعر لقطه. السعر: جنيه مصري 10000. الموقع: 1st Settlement, New Cairo.  تم النشر منذ 6 ساعةs مضت.",Negotiable
وحده ادراج  ايكيا ابيض,"EGP 6,500","New Cairo, Cairo",6 hours ago,وحده ادراج  ايكيا ابيض.jpg,https://images.dubizzle.com.eg/thumbnails/66722943-400x300.jpeg,"وحده ادراج  ايكيا ابيض. السعر: جنيه مصري 6500. الموقع: New Cairo, Cairo.  تم النشر منذ 6 ساعةs مضت.",Fixed
وحده ادراج مكتب ايكيا,"EGP 5,500","New Cairo, Cairo",6 hours ago,وحده ادراج مكتب ايكيا.jpg,https://images.dubizzle.com.eg/thumbnails/49650405-400x300.jpeg,"وحده ادراج مكتب ايكيا. السعر: جنيه مصري 5500. الموقع: New Cairo, Cairo.  تم النشر منذ 6 ساعةs مضت.",Fixed
نيش للبيع,"EGP 5,000","Imbaba, Giza",6 hours ago,نيش للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137288334-400x300.jpeg,"نيش للبيع. السعر: جنيه مصري 5000. الموقع: Imbaba, Giza.  تم النشر منذ 6 ساعةs مضت.",Fixed
صالون زان فخم جدا مذهب,"EGP 21,000","Mahalla al-Kobra, Gharbia",6 hours ago,صالون زان فخم جدا مذهب.jpg,https://images.dubizzle.com.eg/thumbnails/130028044-400x300.jpeg,"صالون زان فخم جدا مذهب. السعر: جنيه مصري 21000. الموقع: Mahalla al-Kobra, Gharbia.  تم النشر منذ 6 ساعةs مضت.",Fixed
نجف نحاس قديم علي التراث الفرنسي,"EGP 15,000","Al Amiriyyah, Cairo",6 hours ago,نجف نحاس قديم علي التراث الفرنسي.jpg,https://images.dubizzle.com.eg/thumbnails/137288109-400x300.jpeg,"نجف نحاس قديم علي التراث الفرنسي. السعر: جنيه مصري 15000. الموقع: Al Amiriyyah, Cairo.  تم النشر منذ 6 ساعةs مضت.",Negotiable
انترية خشب زان وسفرة وغسالة توشيبا فوق اتوماتيك ٨كيلو,"EGP 17,000","Faisal, Giza",6 hours ago,انترية خشب زان وسفرة وغسالة توشيبا فوق اتوماتيك ٨كيلو.jpg,https://images.dubizzle.com.eg/thumbnails/137287874-400x300.jpeg,"انترية خشب زان وسفرة وغسالة توشيبا فوق اتوماتيك ٨كيلو. السعر: جنيه مصري 17000. الموقع: Faisal, Giza. مصنوع من الخشب تم النشر منذ 6 ساعةs مضت.",Negotiable
صالون مستعمل من دمياط للبيع,"EGP 11,000","Abu Hammad, Sharqia",6 hours ago,صالون مستعمل من دمياط للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137287460-400x300.jpeg,"صالون مستعمل من دمياط للبيع. السعر: جنيه مصري 11000. الموقع: Abu Hammad, Sharqia. مستعمل تم النشر منذ 6 ساعةs مضت.",Negotiable
بلكونة للبيع خشب,"EGP 3,000","Glim, Alexandria",6 hours ago,بلكونة للبيع خشب.jpg,https://images.dubizzle.com.eg/thumbnails/137287425-400x300.jpeg,"بلكونة للبيع خشب. السعر: جنيه مصري 3000. الموقع: Glim, Alexandria. مصنوع من الخشب تم النشر منذ 6 ساعةs مضت.",Fixed
نيش للبيع,"EGP 5,000","Imbaba, Giza",6 hours ago,نيش للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137288334-400x300.jpeg,"نيش للبيع. السعر: جنيه مصري 5000. الموقع: Imbaba, Giza.  تم النشر منذ 6 ساعةs مضت.",Fixed
صالون زان فخم جدا مذهب,"EGP 21,000","Mahalla al-Kobra, Gharbia",6 hours ago,صالون زان فخم جدا مذهب.jpg,https://images.dubizzle.com.eg/thumbnails/130028044-400x300.jpeg,"صالون زان فخم جدا مذهب. السعر: جنيه مصري 21000. الموقع: Mahalla al-Kobra, Gharbia.  تم النشر منذ 6 ساعةs مضت.",Negotiable
نجف نحاس قديم علي التراث الفرنسي,"EGP 15,000","Al Amiriyyah, Cairo",6 hours ago,نجف نحاس قديم علي التراث الفرنسي.jpg,https://images.dubizzle.com.eg/thumbnails/137288109-400x300.jpeg,"نجف نحاس قديم علي التراث الفرنسي. السعر: جنيه مصري 15000. الموقع: Al Amiriyyah, Cairo.  تم النشر منذ 6 ساعةs مضت.",Fixed
انترية خشب زان وسفرة وغسالة توشيبا فوق اتوماتيك ٨كيلو,"EGP 17,000","Faisal, Giza",6 hours ago,انترية خشب زان وسفرة وغسالة توشيبا فوق اتوماتيك ٨كيلو.jpg,https://images.dubizzle.com.eg/thumbnails/137287874-400x300.jpeg,"انترية خشب زان وسفرة وغسالة توشيبا فوق اتوماتيك ٨كيلو. السعر: جنيه مصري 17000. الموقع: Faisal, Giza. مصنوع من الخشب تم النشر منذ 6 ساعةs مضت.",Negotiable
صالون مستعمل من دمياط للبيع,"EGP 11,000","Abu Hammad, Sharqia",6 hours ago,صالون مستعمل من دمياط للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137287460-400x300.jpeg,"صالون مستعمل من دمياط للبيع. السعر: جنيه مصري 11000. الموقع: Abu Hammad, Sharqia. مستعمل تم النشر منذ 6 ساعةs مضت.",Fixed
بلكونة للبيع خشب,"EGP 3,000","Glim, Alexandria",6 hours ago,بلكونة للبيع خشب.jpg,https://images.dubizzle.com.eg/thumbnails/137287425-400x300.jpeg,"بلكونة للبيع خشب. السعر: جنيه مصري 3000. الموقع: Glim, Alexandria. مصنوع من الخشب تم النشر منذ 6 ساعةs مضت.",Fixed
سجاده تركي تقيله,EGP 600,"Miami, Alexandria",6 hours ago,سجاده تركي تقيله.jpg,https://images.dubizzle.com.eg/thumbnails/94936160-400x300.jpeg,"سجاده تركي تقيله. السعر: جنيه مصري 600. الموقع: Miami, Alexandria.  تم النشر منذ 6 ساعةs مضت.",Fixed
ترابيزات سفرة,"EGP 15,000","Bab al-Shereia, Cairo",6 hours ago,ترابيزات سفرة.jpg,https://images.dubizzle.com.eg/thumbnails/64604966-400x300.jpeg,"ترابيزات سفرة. السعر: جنيه مصري 15000. الموقع: Bab al-Shereia, Cairo.  تم النشر منذ 6 ساعةs مضت.",Fixed
واجهه محل خشب متين جدا مساحه 2.90  عرض و 2.45 ارتفاع,"EGP 3,500","Mansura, Dakahlia",6 hours ago,واجهه محل خشب متين جدا مساحه 2.90  عرض و 2.45 ارتفاع.jpg,https://images.dubizzle.com.eg/thumbnails/128008615-400x300.jpeg,"واجهه محل خشب متين جدا مساحه 2.90  عرض و 2.45 ارتفاع. السعر: جنيه مصري 3500. الموقع: Mansura, Dakahlia. مصنوع من الخشب تم النشر منذ 6 ساعةs مضت.",Fixed
حوض وجه ديورافيت,EGP 750,"Faisal, Giza",6 hours ago,حوض وجه ديورافيت.jpg,https://images.dubizzle.com.eg/thumbnails/137286643-400x300.jpeg,"حوض وجه ديورافيت. السعر: جنيه مصري 750. الموقع: Faisal, Giza.  تم النشر منذ 6 ساعةs مضت.",Negotiable
باب طرقه حديد,"EGP 5,000","Gesr Al Suez, Cairo",6 hours ago,باب طرقه حديد.jpg,https://images.dubizzle.com.eg/thumbnails/133225195-400x300.jpeg,"باب طرقه حديد. السعر: جنيه مصري 5000. الموقع: Gesr Al Suez, Cairo.  تم النشر منذ 6 ساعةs مضت.",Fixed
اثاث مستعمل,"EGP 6,000","New Cairo, Cairo",6 hours ago,اثاث مستعمل.jpg,https://images.dubizzle.com.eg/thumbnails/91450184-400x300.jpeg,"اثاث مستعمل. السعر: جنيه مصري 6000. الموقع: New Cairo, Cairo. مستعمل تم النشر منذ 6 ساعةs مضت.",Negotiable
اثاث وديكور,"EGP 22,000","Markaz Sohag, Sohag",6 hours ago,اثاث وديكور.jpg,https://images.dubizzle.com.eg/thumbnails/137286500-400x300.jpeg,"اثاث وديكور. السعر: جنيه مصري 22000. الموقع: Markaz Sohag, Sohag.  تم النشر منذ 6 ساعةs مضت.",Fixed
طقم صيني شيك جداا 52 قطعه,"EGP 6,500","6th of October, Giza",6 hours ago,طقم صيني شيك جداا 52 قطعه.jpg,https://images.dubizzle.com.eg/thumbnails/137286688-400x300.jpeg,"طقم صيني شيك جداا 52 قطعه. السعر: جنيه مصري 6500. الموقع: 6th of October, Giza.  تم النشر منذ 6 ساعةs مضت.",Fixed
بيع غرفة نوم كاملة,"EGP 8,500","Haram, Giza",6 hours ago,بيع غرفة نوم كاملة.jpg,https://images.dubizzle.com.eg/thumbnails/75506818-400x300.jpeg,"بيع غرفة نوم كاملة. السعر: جنيه مصري 8500. الموقع: Haram, Giza.  تم النشر منذ 6 ساعةs مضت.",Fixed
بين باج حجم كبير جدا,EGP 500,"Shorouk City, Cairo",6 hours ago,بين باج حجم كبير جدا.jpg,https://images.dubizzle.com.eg/thumbnails/85754477-400x300.jpeg,"بين باج حجم كبير جدا. السعر: جنيه مصري 500. الموقع: Shorouk City, Cairo.  تم النشر منذ 6 ساعةs مضت.",Fixed
ترابيزة انتريه,"EGP 4,000","Moharam Bik, Alexandria",6 hours ago,ترابيزة انتريه.jpg,https://images.dubizzle.com.eg/thumbnails/137285915-400x300.jpeg,"ترابيزة انتريه. السعر: جنيه مصري 4000. الموقع: Moharam Bik, Alexandria.  تم النشر منذ 6 ساعةs مضت.",Negotiable
سفره مودرن جديده,"EGP 6,000","Khosous, Qalyubia",6 hours ago,سفره مودرن جديده.jpg,https://images.dubizzle.com.eg/thumbnails/130483028-400x300.jpeg,"سفره مودرن جديده. السعر: جنيه مصري 6000. الموقع: Khosous, Qalyubia. جديد تم النشر منذ 6 ساعةs مضت.",Fixed
تابلوه جوبلان انتيك فرنساوي,"EGP 3,500","Heliopolis, Cairo",6 hours ago,تابلوه جوبلان انتيك فرنساوي.jpg,https://images.dubizzle.com.eg/thumbnails/137285865-400x300.jpeg,"تابلوه جوبلان انتيك فرنساوي. السعر: جنيه مصري 3500. الموقع: Heliopolis, Cairo.  تم النشر منذ 6 ساعةs مضت.",Negotiable
كرسي سلم خشب,EGP 600,"Asafra, Alexandria",6 hours ago,كرسي سلم خشب.jpg,https://images.dubizzle.com.eg/thumbnails/137285839-400x300.jpeg,"كرسي سلم خشب. السعر: جنيه مصري 600. الموقع: Asafra, Alexandria. مصنوع من الخشب تم النشر منذ 6 ساعةs مضت.",Fixed
تقفيل مطبخ كونتر روسي 15 مللي للبيع في دمياط,"EGP 8,500","Damietta City, Damietta",6 hours ago,تقفيل مطبخ كونتر روسي 15 مللي للبيع في دمياط.jpg,https://images.dubizzle.com.eg/thumbnails/137285819-400x300.jpeg,"تقفيل مطبخ كونتر روسي 15 مللي للبيع في دمياط. السعر: جنيه مصري 8500. الموقع: Damietta City, Damietta.  تم النشر منذ 6 ساعةs مضت.",Fixed
تابلوه كلاسيك مدهب رسم,"EGP 3,000","Heliopolis, Cairo",6 hours ago,تابلوه كلاسيك مدهب رسم.jpg,https://images.dubizzle.com.eg/thumbnails/137285838-400x300.jpeg,"تابلوه كلاسيك مدهب رسم. السعر: جنيه مصري 3000. الموقع: Heliopolis, Cairo.  تم النشر منذ 6 ساعةs مضت.",Negotiable
كلجديد,"EGP 15,000","3rd District, New Cairo",6 hours ago,كلجديد.jpg,https://images.dubizzle.com.eg/thumbnails/137285522-400x300.jpeg,"كلجديد. السعر: جنيه مصري 15000. الموقع: 3rd District, New Cairo. جديد تم النشر منذ 6 ساعةs مضت.",Fixed
بارافان سته ضلفه  مطعم بالصدف,"EGP 15,000","Dokki, Giza",6 hours ago,بارافان سته ضلفه  مطعم بالصدف.jpg,https://images.dubizzle.com.eg/thumbnails/132071422-400x300.jpeg,"بارافان سته ضلفه  مطعم بالصدف. السعر: جنيه مصري 15000. الموقع: Dokki, Giza.  تم النشر منذ 6 ساعةs مضت.",Negotiable
ترابيزة صالون زان,"EGP 5,000","Shorouk City, Cairo",6 hours ago,ترابيزة صالون زان.jpg,https://images.dubizzle.com.eg/thumbnails/133102206-400x300.jpeg,"ترابيزة صالون زان. السعر: جنيه مصري 5000. الموقع: Shorouk City, Cairo.  تم النشر منذ 6 ساعةs مضت.",Negotiable
هيكل بارتشن للبيع يصلح للعديد من الأنشطة,"EGP 8,000","Gomrok, Alexandria",6 hours ago,هيكل بارتشن للبيع يصلح للعديد من الأنشطة.jpg,https://images.dubizzle.com.eg/thumbnails/133095044-400x300.jpeg,"هيكل بارتشن للبيع يصلح للعديد من الأنشطة. السعر: جنيه مصري 8000. الموقع: Gomrok, Alexandria.  تم النشر منذ 6 ساعةs مضت.",Fixed
تربيزه وسط / تربيزة ليفينج / living room table,"EGP 4,500","5th Settlement, New Cairo",6 hours ago,تربيزه وسط  تربيزة ليفينج  living room table.jpg,https://images.dubizzle.com.eg/thumbnails/121439490-400x300.jpeg,"تربيزه وسط / تربيزة ليفينج / living room table. السعر: جنيه مصري 4500. الموقع: 5th Settlement, New Cairo.  تم النشر منذ 6 ساعةs مضت.",Negotiable
نش للبيع,"EGP 3,000","Saft El Laban, Giza",6 hours ago,نش للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137285305-400x300.jpeg,"نش للبيع. السعر: جنيه مصري 3000. الموقع: Saft El Laban, Giza.  تم النشر منذ 6 ساعةs مضت.",Negotiable
سفره استعمال بسيط جدا,"EGP 22,500","Mansura, Dakahlia",6 hours ago,سفره استعمال بسيط جدا.jpg,https://images.dubizzle.com.eg/thumbnails/137285269-400x300.jpeg,"سفره استعمال بسيط جدا. السعر: جنيه مصري 22500. الموقع: Mansura, Dakahlia.  تم النشر منذ 6 ساعةs مضت.",Negotiable
سفره للبيع,"EGP 3,000","High City, Obour City",6 hours ago,سفره للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137285228-400x300.jpeg,"سفره للبيع. السعر: جنيه مصري 3000. الموقع: High City, Obour City.  تم النشر منذ 6 ساعةs مضت.",Negotiable
ماكينه تصوير مستعمله,"EGP 12,000","Damanhour, Beheira",6 hours ago,ماكينه تصوير مستعمله.jpg,https://images.dubizzle.com.eg/thumbnails/137284845-400x300.jpeg,"ماكينه تصوير مستعمله. السعر: جنيه مصري 12000. الموقع: Damanhour, Beheira. مستعمل تم النشر منذ 6 ساعةs مضت.",Fixed
انتريه مستعمل كنبه٤ وكراسي,"EGP 2,500","Tanta, Gharbia",6 hours ago,انتريه مستعمل كنبه٤ وكراسي.jpg,https://images.dubizzle.com.eg/thumbnails/137284815-400x300.jpeg,"انتريه مستعمل كنبه٤ وكراسي. السعر: جنيه مصري 2500. الموقع: Tanta, Gharbia. مستعمل تم النشر منذ 6 ساعةs مضت.",Fixed
سفرة زان,"EGP 30,000","Aria, New Cairo",6 hours ago,سفرة زان.jpg,https://images.dubizzle.com.eg/thumbnails/137284799-400x300.jpeg,"سفرة زان. السعر: جنيه مصري 30000. الموقع: Aria, New Cairo.  تم النشر منذ 6 ساعةs مضت.",Negotiable
ركنه عموله,"EGP 15,000","Al Hadaba Al Wosta, Mokattam",6 hours ago,ركنه عموله.jpg,https://images.dubizzle.com.eg/thumbnails/137284796-400x300.jpeg,"ركنه عموله. السعر: جنيه مصري 15000. الموقع: Al Hadaba Al Wosta, Mokattam.  تم النشر منذ 6 ساعةs مضت.",Fixed
دولاب خشبي دارفتين,"EGP 2,000","Azarita, Alexandria",6 hours ago,دولاب خشبي دارفتين.jpg,https://images.dubizzle.com.eg/thumbnails/136404449-400x300.jpeg,"دولاب خشبي دارفتين. السعر: جنيه مصري 2000. الموقع: Azarita, Alexandria. مصنوع من الخشب تم النشر منذ 6 ساعةs مضت.",Negotiable
نجفتين نفس الشكل,"EGP 3,500","Faisal, Giza",6 hours ago,نجفتين نفس الشكل.jpg,https://images.dubizzle.com.eg/thumbnails/137284730-400x300.jpeg,"نجفتين نفس الشكل. السعر: جنيه مصري 3500. الموقع: Faisal, Giza.  تم النشر منذ 6 ساعةs مضت.",Fixed
